index, timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
1, 2025/02/26 09:24:06.928, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:07.929, 93 %, 85 %, 19617 MiB
1, 2025/02/26 09:24:07.930, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:08.930, 89 %, 81 %, 19617 MiB
1, 2025/02/26 09:24:08.931, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:09.932, 87 %, 80 %, 19617 MiB
1, 2025/02/26 09:24:09.933, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:10.933, 95 %, 87 %, 19617 MiB
1, 2025/02/26 09:24:10.934, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:11.935, 89 %, 82 %, 19617 MiB
1, 2025/02/26 09:24:11.935, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:12.936, 93 %, 85 %, 19617 MiB
1, 2025/02/26 09:24:12.936, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:13.937, 96 %, 88 %, 19617 MiB
1, 2025/02/26 09:24:13.937, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:14.938, 94 %, 87 %, 19617 MiB
1, 2025/02/26 09:24:14.997, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:15.997, 78 %, 56 %, 19617 MiB
1, 2025/02/26 09:24:15.998, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:16.999, 82 %, 77 %, 19617 MiB
1, 2025/02/26 09:24:16.999, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:18.000, 83 %, 79 %, 19617 MiB
1, 2025/02/26 09:24:18.001, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:19.001, 79 %, 74 %, 19617 MiB
1, 2025/02/26 09:24:19.002, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:20.002, 80 %, 76 %, 19617 MiB
1, 2025/02/26 09:24:20.003, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:21.004, 81 %, 76 %, 19617 MiB
1, 2025/02/26 09:24:21.004, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:22.005, 80 %, 75 %, 19617 MiB
1, 2025/02/26 09:24:22.006, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:23.006, 80 %, 75 %, 19617 MiB
1, 2025/02/26 09:24:23.007, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:24.008, 80 %, 74 %, 19617 MiB
1, 2025/02/26 09:24:24.009, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:25.009, 82 %, 77 %, 19617 MiB
1, 2025/02/26 09:24:25.010, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:26.010, 82 %, 77 %, 19617 MiB
1, 2025/02/26 09:24:26.011, 0 %, 0 %, 5 MiB
